Study ID,,author,,data source,diag_defn,diag,bronchod,sample_size,case,risk factor,risk_fac,reference group,effect estimate,uni_odds_ratio,uni_lower_ci,uni_upper_ci,Self-calculated,multi_odds_ratio,multi_lower_ci,multi_upper_ci,Variables adjusted for,case with exposure,case without exposure,control with exposure,control without exposure
921,Shu 2024,Shu et. al. (2024),https://dx.doi.org/10.1093/qjmed/hcae010,original,gold,prism,no,461183,65832,smoking,current,non,OR,0.93,0.91,0.95,yes,,,,,10426,33495,66979,199966
921,Shu 2024,Shu et. al. (2024),https://dx.doi.org/10.1093/qjmed/hcae010,original,gold,prism,no,461183,65832,smoking,ex,non,OR,1.02,0.98,1.06,yes,,,,,3159,33495,18534,199966
928,Sin 2023,Sin et. al. (2023),,KoGES (Korean Genome and Epidemiology Study) Ansan and Ansung study,gold,prism,no,7526,471,age,50-59,40-49,OR,1.37,1.09,1.71,yes,,,,,140,200,1697,3320
928,Sin 2023,Sin et. al. (2023),,KoGES (Korean Genome and Epidemiology Study) Ansan and Ansung study,gold,prism,no,7526,471,age,60-69,40-49,OR,1.59,1.26,2,yes,,,,,131,200,1370,3320
928,Sin 2023,Sin et. al. (2023),https://dx.doi.org/10.1186/s12890-023-02451-2,KoGES (Korean Genome and Epidemiology Study) Ansan and Ansung study,gold,prism,no,7526,471,bmi,underweight,normal 18.5-22.9,OR,3.09,1.77,5.38,yes,,,,,17,121,80,1759
928,Sin 2023,Sin et. al. (2023),https://dx.doi.org/10.1186/s12890-023-02451-2,KoGES (Korean Genome and Epidemiology Study) Ansan and Ansung study,gold,prism,no,7526,471,comorbidity,cvd,no cvd,OR,1.47,0.76,2.84,yes,,,,,10,461,93,6294
928,Sin 2023,Sin et. al. (2023),https://dx.doi.org/10.1186/s12890-023-02451-2,KoGES (Korean Genome and Epidemiology Study) Ansan and Ansung study,gold,prism,no,7526,471,comorbidity,diabetes,no diabetes,OR,1.65,1.19,2.29,yes,,,,,44,427,376,6011
928,Sin 2023,Sin et. al. (2023),https://dx.doi.org/10.1186/s12890-023-02451-2,KoGES (Korean Genome and Epidemiology Study) Ansan and Ansung study,gold,prism,no,7526,471,comorbidity,hypertension,no hypertension,OR,1.51,1.19,1.91,yes,,,,,95,376,917,5470
928,Sin 2023,Sin et. al. (2023),https://dx.doi.org/10.1186/s12890-023-02451-2,KoGES (Korean Genome and Epidemiology Study) Ansan and Ansung study,gold,prism,no,7526,471,gender,female,male,OR,0.73,0.6,0.88,yes,,,,,223,248,3529,2858
928,Sin 2023,Sin et. al. (2023),https://dx.doi.org/10.1186/s12890-023-02451-2,KoGES (Korean Genome and Epidemiology Study) Ansan and Ansung study,gold,prism,no,7526,471,gender,male,female,OR,1.37,1.14,1.66,yes,,,,,248,223,2858,3529
928,Sin 2023,Sin et. al. (2023),https://dx.doi.org/10.1186/s12890-023-02451-2,KoGES (Korean Genome and Epidemiology Study) Ansan and Ansung study,gold,prism,no,7526,471,smoking,current,never,OR,1.43,1.14,1.78,yes,,,,,129,260,1395,4009
928,Sin 2023,Sin et. al. (2023),https://dx.doi.org/10.1186/s12890-023-02451-2,KoGES (Korean Genome and Epidemiology Study) Ansan and Ansung study,gold,prism,no,7526,471,smoking,ex,never,OR,1.29,0.99,1.66,yes,,,,,82,260,983,4009
945,Soriano 2012,Soriano et. al. (2012),,EPI-SCAN,gold,rsp,no,3802,481,age,70-79,40-49,OR,7.87,6.81,10.65,no,7.41,5.21,10.54,"centre of study, age, gender, smoking, education, Charlson index score, BMI",,,,
945,Soriano 2012,Soriano et. al. (2012),https://dx.doi.org/10.4104/pcrj.2012.00027,EPI-SCAN,gold,rsp,no,3802,481,bmi,obese,normal >18.5-24.9,OR,3.37,2.51,4.53,no,2.58,1.86,3.58,"centre of study, age, gender, smoking, education, Charlson index score, BMI",,,,
945,Soriano 2012,Soriano et. al. (2012),https://dx.doi.org/10.4104/pcrj.2012.00027,EPI-SCAN,gold,rsp,no,3802,481,bmi,overweight,normal >18.5-24.9,OR,1.94,1.45,2.58,no,1.43,1.05,1.95,"centre of study, age, gender, smoking, education, Charlson index score, BMI",,,,
945,Soriano 2012,Soriano et. al. (2012),https://dx.doi.org/10.4104/pcrj.2012.00027,EPI-SCAN,gold,rsp,no,3802,481,bmi,underweight,normal >18.5-24.9,OR,1.79,0.4,8.05,no,2.86,0.61,13.44,"centre of study, age, gender, smoking, education, Charlson index score, BMI",,,,
945,Soriano 2012,Soriano et. al. (2012),https://dx.doi.org/10.4104/pcrj.2012.00027,EPI-SCAN,gold,rsp,no,3802,481,gender,female,male,OR,0.57,0.47,0.69,yes,,,,,208,273,1681,1249
945,Soriano 2012,Soriano et. al. (2012),https://dx.doi.org/10.4104/pcrj.2012.00027,EPI-SCAN,gold,rsp,no,3802,481,gender,male,female,OR,1.77,1.45,2.15,no,1.82,1.43,2.42,"centre of study, age, gender, smoking, education, Charlson index score, BMI",,,,
945,Soriano 2012,Soriano et. al. (2012),https://dx.doi.org/10.4104/pcrj.2012.00027,EPI-SCAN,gold,rsp,no,3802,481,smoking,current,non,OR,0.76,0.59,0.98,yes,,,,,98,222,758,1312
945,Soriano 2012,Soriano et. al. (2012),https://dx.doi.org/10.4104/pcrj.2012.00027,EPI-SCAN,gold,rsp,no,3802,481,smoking,ex,non,OR,1.1,0.88,1.38,yes,,,,,160,222,857,1312
950,Sperandio 2015,Sperandio et. al. (2015),,Epidemiological Study of Human Movement and Hypokinetic Diseases,gold,rsp,yes,374,37,age,continuous_age,,OR,,,,,1.01,0.91,1.12,"age, gender, race, level of education (higher education or not), self-reported CVD risk factors (SAH, diabetes, dyslipidemia, smoking, obesity, and physical inactivity),body composition (fat body mass), peripheral muscle function (PT of the quadriceps and biceps), postural balance (COP area while standing with eyes open), and cardiorespiratory fitness (peak VO2)",,,,
950,Sperandio 2015,Sperandio et. al. (2015),,Epidemiological Study of Human Movement and Hypokinetic Diseases,gold,rsp,yes,374,37,comorbidity,diabetes,no diabetes,OR,,,,,3.55,0.38,33.01,"age, gender, race, level of education (higher education or not), self-reported CVD risk factors (SAH, diabetes, dyslipidemia, smoking, obesity, and physical inactivity),body composition (fat body mass), peripheral muscle function (PT of the quadriceps and biceps), postural balance (COP area while standing with eyes open), and cardiorespiratory fitness (peak VO2)",,,,
950,Sperandio 2015,Sperandio et. al. (2015),,Epidemiological Study of Human Movement and Hypokinetic Diseases,gold,rsp,yes,374,37,comorbidity,hypertension,no hypertension,OR,,,,,17.51,1.7,184.82,"age, gender, race, level of education (higher education or not), self-reported CVD risk factors (SAH, diabetes, dyslipidemia, smoking, obesity, and physical inactivity),body composition (fat body mass), peripheral muscle function (PT of the quadriceps and biceps), postural balance (COP area while standing with eyes open), and cardiorespiratory fitness (peak VO2)",,,,
950,Sperandio 2015,Sperandio et. al. (2015),,Epidemiological Study of Human Movement and Hypokinetic Diseases,gold,rsp,yes,374,37,gender,female,male,OR,2.11,0.99,4.51,yes,,,,,27,10,189,148
950,Sperandio 2015,Sperandio et. al. (2015),,Epidemiological Study of Human Movement and Hypokinetic Diseases,gold,rsp,yes,374,37,gender,male,female,OR,0.47,0.22,1.01,yes,0.115,0.006,2.093,"age, gender, race, level of education (higher education or not), self-reported CVD risk factors (SAH, diabetes, dyslipidemia, smoking, obesity, and physical inactivity),body composition (fat body mass), peripheral muscle function (PT of the quadriceps and biceps), postural balance (COP area while standing with eyes open), and cardiorespiratory fitness (peak VO2)",10,27,148,189
950,Sperandio 2015,Sperandio et. al. (2015),,Epidemiological Study of Human Movement and Hypokinetic Diseases,gold,rsp,yes,374,37,smoking,current,not current smoking,OR,,,,,11.699,1.564,87.504,"age, gender, race, level of education (higher education or not), self-reported CVD risk factors (SAH, diabetes, dyslipidemia, smoking, obesity, and physical inactivity),body composition (fat body mass), peripheral muscle function (PT of the quadriceps and biceps), postural balance (COP area while standing with eyes open), and cardiorespiratory fitness (peak VO2)",,,,
995,Tanabe 2022,Tanabe. et al. (2022),https://dx.doi.org/10.1016/j.resinv.2022.08.006,original - medical check up records,gold,prism,no,10139,706,comorbidity,asthma,no asthma,OR,2.15,1.68,2.74,yes,,,,,85,621,543,8515
995,Tanabe 2022,Tanabe. et al. (2022),https://dx.doi.org/10.1016/j.resinv.2022.08.006,original - medical check up records,gold,prism,no,10139,706,comorbidity,diabetes,no diabetes,OR,3.16,2.46,4.06,yes,,,,,84,622,371,8687
995,Tanabe 2022,Tanabe. et al. (2022),https://dx.doi.org/10.1016/j.resinv.2022.08.006,original - medical check up records,gold,prism,no,10139,706,comorbidity,hypertension,no hypertension,OR,1.63,1.37,1.94,yes,,,,,187,519,1639,7419
995,Tanabe 2022,Tanabe. et al. (2022),https://dx.doi.org/10.1016/j.resinv.2022.08.006,original - medical check up records,gold,prism,no,10139,706,comorbidity,stroke,no stroke,OR,2.23,1.38,3.6,yes,,,,,20,686,118,8940
995,Tanabe 2022,Tanabe. et al. (2022),https://dx.doi.org/10.1016/j.resinv.2022.08.006,original - medical check up records,gold,prism,no,10139,706,gender,female,male,OR,0.99,0.85,1.15,yes,,,,,326,380,4212,4846
995,Tanabe 2022,Tanabe. et al. (2022),https://dx.doi.org/10.1016/j.resinv.2022.08.006,original - medical check up records,gold,prism,no,10139,706,gender,male,female,OR,1.01,0.87,1.18,yes,,,,,380,326,4846,4212
995,Tanabe 2022,Tanabe. et al. (2022),https://dx.doi.org/10.1016/j.resinv.2022.08.006,original - medical check up records,gold,prism,no,10139,706,smoking,current,non,OR,1.44,1.17,1.77,yes,,,,,123,434,1168,5924
995,Tanabe 2022,Tanabe. et al. (2022),https://dx.doi.org/10.1016/j.resinv.2022.08.006,original - medical check up records,gold,prism,no,10139,706,smoking,ex,non,OR,1.03,0.85,1.25,yes,,,,,149,434,1966,5924
1015,Tran 2023,Tran et. al. (2023),https://dx.doi.org/10.1016/j.rmed.2023.107126,COPDGene,gold,prism,yes,5055,,smoking,current,ex-smoking,OR,1.25,1.05,1.48,yes,,,,,443,242,1965,1341
1059,Wan 2021,Wan et. al. (2021),,National Heart Lung and Blood Institute (NHLBI) Pooled Cohorts Study,gold,prism,no,53701,4582,age,50-59,40-49,OR,1.11,1.01,1.21,yes,,,,,1428,797,11477,7082
1059,Wan 2021,Wan et. al. (2021),,National Heart Lung and Blood Institute (NHLBI) Pooled Cohorts Study,gold,prism,no,53701,4582,age,60-69,40-49,OR,1.34,1.21,1.47,yes,,,,,1024,797,6815,7082
1059,Wan 2021,Wan et. al. (2021),,National Heart Lung and Blood Institute (NHLBI) Pooled Cohorts Study,gold,prism,no,53701,4582,age,70-79,40-49,OR,1.37,1.23,1.53,yes,,,,,654,797,4239,7082
1059,Wan 2021,Wan et. al. (2021),https://dx.doi.org/10.1001/jama.2021.20939,National Heart Lung and Blood Institute (NHLBI) Pooled Cohorts Study,gold,prism,no,53701,4582,comorbidity,asthma,no asthma,OR,2.21,2.01,2.42,yes,,,,,627,3955,2657,37022
1059,Wan 2021,Wan et. al. (2021),https://dx.doi.org/10.1001/jama.2021.20939,National Heart Lung and Blood Institute (NHLBI) Pooled Cohorts Study,gold,prism,no,53701,4582,comorbidity,diabetes,no,OR,2.22,2.06,2.39,yes,,,,,1170,3412,5312,34367
1059,Wan 2021,Wan et. al. (2021),https://dx.doi.org/10.1001/jama.2021.20939,National Heart Lung and Blood Institute (NHLBI) Pooled Cohorts Study,gold,prism,no,53701,4582,comorbidity,heart_failure,no,OR,1.66,1.48,1.87,yes,,,,,353,4229,1899,37780
1059,Wan 2021,Wan et. al. (2021),https://dx.doi.org/10.1001/jama.2021.20939,National Heart Lung and Blood Institute (NHLBI) Pooled Cohorts Study,gold,prism,no,53701,4582,comorbidity,hypertension,no,OR,2.04,1.92,2.17,yes,,,,,2531,2051,14955,24724
1059,Wan 2021,Wan et. al. (2021),https://dx.doi.org/10.1001/jama.2021.20939,National Heart Lung and Blood Institute (NHLBI) Pooled Cohorts Study,gold,prism,no,53701,4582,comorbidity,stroke,no,OR,2.52,2.09,3.03,yes,,,,,147,4435,516,39163
1059,Wan 2021,Wan et. al. (2021),https://dx.doi.org/10.1001/jama.2021.20939,National Heart Lung and Blood Institute (NHLBI) Pooled Cohorts Study,gold,prism,no,53701,4582,gender,female,male,OR,1.06,0.99,1.13,yes,,,,,2764,1818,23398,16281
1059,Wan 2021,Wan et. al. (2021),https://dx.doi.org/10.1001/jama.2021.20939,National Heart Lung and Blood Institute (NHLBI) Pooled Cohorts Study,gold,prism,no,53701,4582,gender,male,female,OR,0.95,0.89,1.01,yes,,,,,1818,2764,16281,23398
1059,Wan 2021,Wan et. al. (2021),https://dx.doi.org/10.1001/jama.2021.20939,National Heart Lung and Blood Institute (NHLBI) Pooled Cohorts Study,gold,prism,no,53701,4582,smoking,current,non,OR,1.71,1.58,1.84,yes,,,,,1153,2091,6944,21476
1059,Wan 2021,Wan et. al. (2021),https://dx.doi.org/10.1001/jama.2021.20939,National Heart Lung and Blood Institute (NHLBI) Pooled Cohorts Study,gold,prism,no,53701,4582,smoking,ex,non,OR,1.22,1.14,1.31,yes,,,,,1338,2091,11259,21476
1068,Wang 2024,Wang et. al. (2024),https://dx.doi.org/10.1080/09603123.2024.2352609,NHANES 2007-2012,gold,rsp,not mentioned,4338,320,bmi,obese,normal <25,OR,2.09,1.57,2.78,yes,,,,,173,70,1424,1203
1068,Wang 2024,Wang et. al. (2024),https://dx.doi.org/10.1080/09603123.2024.2352609,NHANES 2007-2012,gold,rsp,not mentioned,4338,320,bmi,overweight,normal <25,OR,0.95,0.68,1.33,yes,,,,,77,70,1391,1203
1068,Wang 2024,Wang et. al. (2024),https://dx.doi.org/10.1080/09603123.2024.2352609,NHANES 2007-2012,gold,rsp,not mentioned,4338,320,gender,female,male,OR,0.85,0.68,1.07,yes,,,,,145,175,1980,2038
1068,Wang 2024,Wang et. al. (2024),https://dx.doi.org/10.1080/09603123.2024.2352609,NHANES 2007-2012,gold,rsp,not mentioned,4338,320,gender,male,female,OR,1.17,0.93,1.47,yes,,,,,175,145,2038,1980
1068,Wang 2024,Wang et. al. (2024),https://dx.doi.org/10.1080/09603123.2024.2352609,NHANES 2007-2012,gold,rsp,not mentioned,4338,320,smoking,current,non,OR,0.93,0.69,1.25,yes,,,,,64,166,917,2214
1068,Wang 2024,Wang et. al. (2024),https://dx.doi.org/10.1080/09603123.2024.2352609,NHANES 2007-2012,gold,rsp,not mentioned,4338,320,smoking,ex,non,OR,1.35,1.04,1.77,yes,,,,,90,166,887,2214
1088,Wijnant 2020,Wijnant et. al. (2020),https://dx.doi.org/10.1183/13993003.01217-2019,Rotterdam Study phase 1 - 2009-2014,gold,prism,no,5487,387,bmi,obese,non-obese,OR,2.13,1.72,2.64,yes,,,,,156,231,1007,3178
1088,Wijnant 2020,Wijnant et. al. (2020),https://dx.doi.org/10.1183/13993003.01217-2019,Rotterdam Study phase 1 - 2009-2014,gold,prism,no,5487,387,comorbidity,asthma,no asthma,OR,1.52,1.09,2.11,yes,,,,,45,342,334,3851
1088,Wijnant 2020,Wijnant et. al. (2020),https://dx.doi.org/10.1183/13993003.01217-2019,Rotterdam Study phase 1 - 2009-2014,gold,prism,no,5487,387,comorbidity,diabetes,no,OR,1.46,1.05,2.04,yes,,,,,44,343,338,3847
1088,Wijnant 2020,Wijnant et. al. (2020),https://dx.doi.org/10.1183/13993003.01217-2019,Rotterdam Study phase 1 - 2009-2014,gold,prism,no,5487,387,comorbidity,heart_failure,no,OR,3.56,2.32,5.48,yes,,,,,29,358,93,4092
1088,Wijnant 2020,Wijnant et. al. (2020),https://dx.doi.org/10.1183/13993003.01217-2019,Rotterdam Study phase 1 - 2009-2014,gold,prism,no,5487,387,comorbidity,hypertension,no,OR,1.74,1.34,2.27,yes,,,,,315,72,2992,1193
1088,Wijnant 2020,Wijnant et. al. (2020),https://dx.doi.org/10.1183/13993003.01217-2019,Rotterdam Study phase 1 - 2009-2014,gold,prism,no,5487,387,gender,female,male,OR,0.98,0.8,1.22,yes,,,,,224,163,2438,1747
1088,Wijnant 2020,Wijnant et. al. (2020),https://dx.doi.org/10.1183/13993003.01217-2019,Rotterdam Study phase 1 - 2009-2014,gold,prism,no,5487,387,gender,male,female,OR,1.02,0.82,1.25,yes,,,,,163,224,1747,2438
1088,Wijnant 2020,Wijnant et. al. (2020),https://dx.doi.org/10.1183/13993003.01217-2019,Rotterdam Study phase 1 - 2009-2014,gold,prism,no,5487,387,smoking,current,non,OR,1.84,1.31,2.59,yes,,,,,54,119,383,1555
1088,Wijnant 2020,Wijnant et. al. (2020),https://dx.doi.org/10.1183/13993003.01217-2019,Rotterdam Study phase 1 - 2009-2014,gold,prism,no,5487,387,smoking,ex,non,OR,1.24,0.99,1.57,yes,,,,,214,119,2247,1555
1113,Zhang 2024,Zhang et. al. (2024),https://dx.doi.org/10.1016/j.rmed.2023.107523,original,gold,prism,no,6994,1997,comorbidity,diabetes,no,OR,0.87,0.69,1.09,yes,,,,,112,1885,250,3645
1113,Zhang 2024,Zhang et. al. (2024),https://dx.doi.org/10.1016/j.rmed.2023.107523,original,gold,prism,no,6994,1997,comorbidity,hypertension,no,OR,0.79,0.71,0.88,yes,,,,,897,1100,1975,1920
1113,Zhang 2024,Zhang et. al. (2024),https://dx.doi.org/10.1016/j.rmed.2023.107523,original,gold,prism,no,6994,1997,gender,female,male,OR,0.6,0.54,0.67,yes,,,,,860,1137,2177,1718
1113,Zhang 2024,Zhang et. al. (2024),https://dx.doi.org/10.1016/j.rmed.2023.107523,original,gold,prism,no,6994,1997,gender,male,female,OR,1.68,1.5,1.87,yes,,,,,1137,860,1718,2177
1113,Zhang 2024,Zhang et. al. (2024),https://dx.doi.org/10.1016/j.rmed.2023.107523,original,gold,prism,no,6994,1997,smoking,current,non,OR,1.44,1.26,1.65,yes,,,,,470,1479,683,3097
1113,Zhang 2024,Zhang et. al. (2024),https://dx.doi.org/10.1016/j.rmed.2023.107523,original,gold,prism,no,6994,1997,smoking,ex,non,OR,0.87,0.62,1.23,yes,,,,,48,1479,115,3097
1128,Siddharthan 2024,Siddharthan et. al. (2024),https://dx.doi.org/10.1016/S2214-109X(24)00233-X,Global Excellence in COPD outcomes (GECo study),gold,prism,yes,10664,986,age,continuous_age,,OR,,,,,0.87,0.82,0.92,"age (decile), sex (male or female), BMI (continuous), daily cigarette smoking (yes or no), biomass use (yes or no),
and comorbidities (yes or no)",,,,
1128,Siddharthan 2024,Siddharthan et. al. (2024),https://dx.doi.org/10.1016/S2214-109X(24)00233-X,Global Excellence in COPD outcomes (GECo study),gold,prism,yes,10664,986,bmi,continuous,,OR,,,,,0.98,0.96,0.99,"age (decile), sex (male or female), BMI (continuous), daily cigarette smoking (yes or no), biomass use (yes or no),
and comorbidities (yes or no)",,,,
1128,Siddharthan 2024,Siddharthan et. al. (2024),https://dx.doi.org/10.1016/S2214-109X(24)00233-X,Global Excellence in COPD outcomes (GECo study),gold,prism,yes,10664,986,comorbidity,asthma,,OR,1.37,0.95,1.97,yes,,,,,35,951,221,8215
1128,Siddharthan 2024,Siddharthan et. al. (2024),https://dx.doi.org/10.1016/S2214-109X(24)00233-X,Global Excellence in COPD outcomes (GECo study),gold,prism,yes,10664,986,comorbidity,cvd,,OR,0.65,0.42,0.99,yes,1.58,1,2.39,"age (decile), sex (male or female), BMI (continuous), daily cigarette smoking (yes or no), biomass use (yes or no),
and comorbidities (yes or no)",26,357,180,1602
1128,Siddharthan 2024,Siddharthan et. al. (2024),https://dx.doi.org/10.1016/S2214-109X(24)00233-X,Global Excellence in COPD outcomes (GECo study),gold,prism,yes,10664,986,comorbidity,diabetes,,OR,,,,,1.21,0.9,1.6,"age (decile), sex (male or female), BMI (continuous), daily cigarette smoking (yes or no), biomass use (yes or no),
and comorbidities (yes or no)",,,,
1128,Siddharthan 2024,Siddharthan et. al. (2024),https://dx.doi.org/10.1016/S2214-109X(24)00233-X,Global Excellence in COPD outcomes (GECo study),gold,prism,yes,10664,986,comorbidity,tuberculosis,,OR,0.57,0.4,0.82,yes,1.29,0.9,1.81,"age (decile), sex (male or female), BMI (continuous), daily cigarette smoking (yes or no), biomass use (yes or no),
and comorbidities (yes or no)",38,357,297,1602
1128,Siddharthan 2024,Siddharthan et. al. (2024),https://dx.doi.org/10.1016/S2214-109X(24)00233-X,Global Excellence in COPD outcomes (GECo study),gold,prism,yes,10664,986,gender,female,male,OR,1.49,1.31,1.71,yes,1.37,1.18,1.58,"age (decile), sex (male or female), BMI (continuous), daily cigarette smoking (yes or no), biomass use (yes or no),
and comorbidities (yes or no)",601,385,4311,4125
1128,Siddharthan 2024,Siddharthan et. al. (2024),https://dx.doi.org/10.1016/S2214-109X(24)00233-X,Global Excellence in COPD outcomes (GECo study),gold,prism,yes,10664,986,gender,male,female,OR,0.67,0.59,0.77,yes,,,,,385,601,4125,4311
1128,Siddharthan 2024,Siddharthan et. al. (2024),https://dx.doi.org/10.1016/S2214-109X(24)00233-X,Global Excellence in COPD outcomes (GECo study),gold,prism,yes,10664,986,smoking,current,non,OR,0.37,0.29,0.47,yes,0.71,0.56,0.89,"age (decile), sex (male or female), BMI (continuous), daily cigarette smoking (yes or no), biomass use (yes or no),
and comorbidities (yes or no)",98,357,1181,1602
1129,Kang 2024,Kang et. al. (2024),https://dx.doi.org/10.1186/s12916-024-03836-8,UK Biobank 2006-2010,gold,prism,no,420002,55365,alcohol,frequent,never,OR,0.44,0.43,0.45,yes,,,,,33431,7290,233136,22300
1129,Kang 2024,Kang et. al. (2024),https://dx.doi.org/10.1186/s12916-024-03836-8,UK Biobank 2006-2010,gold,prism,no,420002,55365,alcohol,sometimes,never,OR,0.6,0.58,0.62,yes,,,,,14354,7290,73079,22300
1129,Kang 2024,Kang et. al. (2024),https://dx.doi.org/10.1186/s12916-024-03836-8,UK Biobank 2006-2010,gold,prism,no,420002,55365,bmi,overweight,normal 18.5-24.9,OR,1.28,1.11,1.47,yes,,,,,43043,225,216213,1443
1129,Kang 2024,Kang et. al. (2024),https://dx.doi.org/10.1186/s12916-024-03836-8,UK Biobank 2006-2010,gold,prism,no,420002,55365,bmi,underweight,normal 18.5-24.9,OR,0.69,0.6,0.8,yes,,,,,11975,225,111064,1443
1129,Kang 2024,Kang et. al. (2024),https://dx.doi.org/10.1186/s12916-024-03836-8,UK Biobank 2006-2010,gold,prism,no,420002,55365,comorbidity,asthma,,OR,1.67,1.63,1.72,yes,,,,,7286,48079,27294,301660
1129,Kang 2024,Kang et. al. (2024),https://dx.doi.org/10.1186/s12916-024-03836-8,UK Biobank 2006-2010,gold,prism,no,420002,55365,comorbidity,chronic kidney disease,,OR,1.22,1.15,1.29,yes,,,,,1583,53782,7753,321201
1129,Kang 2024,Kang et. al. (2024),https://dx.doi.org/10.1186/s12916-024-03836-8,UK Biobank 2006-2010,gold,prism,no,420002,55365,comorbidity,cvd,,OR,2.6,2.5,2.7,yes,,,,,4278,51087,10273,318681
1129,Kang 2024,Kang et. al. (2024),https://dx.doi.org/10.1186/s12916-024-03836-8,UK Biobank 2006-2010,gold,prism,no,420002,55365,comorbidity,diabetes,,OR,3.45,3.34,3.57,yes,,,,,5496,49869,10179,318775
1129,Kang 2024,Kang et. al. (2024),https://dx.doi.org/10.1186/s12916-024-03836-8,UK Biobank 2006-2010,gold,prism,no,420002,55365,comorbidity,hypertension,,OR,1.68,1.65,1.71,yes,,,,,33816,21549,158899,170055
1129,Kang 2024,Kang et. al. (2024),https://dx.doi.org/10.1186/s12916-024-03836-8,UK Biobank 2006-2010,gold,prism,no,420002,55365,gender,female,male,OR,0.17,0.17,0.17,yes,,,,,25594,29771,191079,37875
1129,Kang 2024,Kang et. al. (2024),https://dx.doi.org/10.1186/s12916-024-03836-8,UK Biobank 2006-2010,gold,prism,no,420002,55365,gender,male,female,OR,5.87,5.75,5.99,yes,,,,,29771,25594,37875,191079
1129,Kang 2024,Kang et. al. (2024),https://dx.doi.org/10.1186/s12916-024-03836-8,UK Biobank 2006-2010,gold,prism,no,420002,55365,smoking,current,non,OR,1.67,1.62,1.72,yes,,,,,6808,29508,26401,190701
1129,Kang 2024,Kang et. al. (2024),https://dx.doi.org/10.1186/s12916-024-03836-8,UK Biobank 2006-2010,gold,prism,no,420002,55365,smoking,ex,non,OR,1.08,1.06,1.11,yes,,,,,18561,29508,110591,190713
1133,Toren 2024,Toren et. al. (2024),https://dx.doi.org/10.1513/AnnalsATS.202403-242OC,Swedish CArdioPulmonary bioImage Study (SCAPIS),gold,prism,yes,28855,1467,comorbidity,asthma,,OR,1.98,1.69,2.33,yes,,,,,184,1283,1660,22950
1133,Toren 2024,Toren et. al. (2024),https://dx.doi.org/10.1513/AnnalsATS.202403-242OC,Swedish CArdioPulmonary bioImage Study (SCAPIS),gold,rsp,yes,28855,1475,comorbidity,asthma,,OR,1.51,1.26,1.8,yes,,,,,145,1330,1660,22950
1133,Toren 2024,Toren et. al. (2024),https://dx.doi.org/10.1513/AnnalsATS.202403-242OC,Swedish CArdioPulmonary bioImage Study (SCAPIS),gold,prism,yes,28855,1467,comorbidity,chronic bronchitis,,OR,2.22,1.83,2.7,yes,1.86,1.52,2.28,"age, sex, smoking status, educationlevel, BMI, and study site",123,1344,974,23636
1133,Toren 2024,Toren et. al. (2024),https://dx.doi.org/10.1513/AnnalsATS.202403-242OC,Swedish CArdioPulmonary bioImage Study (SCAPIS),gold,rsp,yes,28855,1475,comorbidity,chronic bronchitis,,OR,2.01,1.64,2.46,yes,1.68,1.37,2.07,"age, sex, smoking status, educationlevel, BMI, and study site",113,1362,974,23636
1133,Toren 2024,Toren et. al. (2024),https://dx.doi.org/10.1513/AnnalsATS.202403-242OC,Swedish CArdioPulmonary bioImage Study (SCAPIS),gold,prism,yes,28855,1467,comorbidity,diabetes,,OR,2.77,2.4,3.21,yes,1.91,1.63,2.24,"age, sex, smoking status, educationlevel, BMI, and study site",243,1224,1644,22966
1133,Toren 2024,Toren et. al. (2024),https://dx.doi.org/10.1513/AnnalsATS.202403-242OC,Swedish CArdioPulmonary bioImage Study (SCAPIS),gold,rsp,yes,28855,1475,comorbidity,diabetes,,OR,2.96,2.57,3.42,yes,2.04,1.75,2.38,"age, sex, smoking status, educationlevel, BMI, and study site",258,1217,1644,22966
1133,Toren 2024,Toren et. al. (2024),https://dx.doi.org/10.1513/AnnalsATS.202403-242OC,Swedish CArdioPulmonary bioImage Study (SCAPIS),gold,prism,yes,28855,1467,comorbidity,ischaemic heart disease,,OR,2.67,1.98,3.61,yes,2.2,1.62,3.26,"age, sex, smoking status, educationlevel, BMI, and study site",51,1416,327,24283
1133,Toren 2024,Toren et. al. (2024),https://dx.doi.org/10.1513/AnnalsATS.202403-242OC,Swedish CArdioPulmonary bioImage Study (SCAPIS),gold,rsp,yes,28855,1475,comorbidity,ischaemic heart disease,,OR,2.55,1.88,3.46,yes,2.01,1.47,2.76,"age, sex, smoking status, educationlevel, BMI, and study site",49,1426,327,24283
1133,Toren 2024,Toren et. al. (2024),https://dx.doi.org/10.1513/AnnalsATS.202403-242OC,Swedish CArdioPulmonary bioImage Study (SCAPIS),gold,prism,yes,28855,1467,comorbidity,rheumatic disease,,OR,1.74,1.39,2.18,yes,1.51,1.2,1.91,"age, sex, smoking status, educationlevel, BMI, and study site",87,1380,860,23750
1133,Toren 2024,Toren et. al. (2024),https://dx.doi.org/10.1513/AnnalsATS.202403-242OC,Swedish CArdioPulmonary bioImage Study (SCAPIS),gold,rsp,yes,28855,1475,comorbidity,rheumatic disease,,OR,1.9,1.53,2.37,yes,1.73,1.38,2.16,"age, sex, smoking status, educationlevel, BMI, and study site",95,1380,860,23750
